;WKT;NOMBRE;CARACT_SIT;AUTORES;TECNICA;F_E;TAMAÑO_TS;UBICACION;DIRECCION;DOM_ORIG;CALLE;ALTURA;BARRIO;COMUNA
202;POINT (-58.3773076237139 -34.6009831857811);DIRIGENTES EN ASAMBLEA;SINDICATO DEL VESTIDO;PASCUAL DI BIANCO;PINTURA MURAL;1964.0;5.50 X 4;HALL;TUCUMAN 737;TUCUMAN 737;TUCUMAN;739;San Nicolas;Comuna 1
203;POINT (-58.3773076237139 -34.6009831857811);1° DE MAYO;SINDICATO DEL VESTIDO;RICARDO CARPANI;PINTURA MURAL;1964.0;5.50 X 4;HALL;TUCUMAN 737;TUCUMAN 737;TUCUMAN;739;San Nicolas;Comuna 1
204;POINT (-58.3912700209687 -34.6116351984444);ALEGORIA;ASOCIACION ARGENTINA DE ACTORES;RAUL SOLDI;OLEO S/TELA;1960.0;6 X 2;HALL;ALSINA, ADOLFO 1766;ALSINA 1766;ALSINA, ADOLFO;1762;Monserrat;Comuna 1
205;POINT (-58.4392867116438 -34.6056052110592);LA BENEFICENCIA A TRAVES DE LOS SIGLOS;CAPILLA DEL DIVINO ROSTRO;AUGUSTO  CESAR FERRARI;PINTURA MURALAL GRAFITO;1915.0;S/M;CAPILLA;GALLARDO, ANGEL AV. y MARECHAL, LEOPOLDO;AV. ANGEL GALLARDO Y LEOPOLDO MARECHAL;GALLARDO, ANGEL AV.;602;Villa Crespo;Comuna 15
206;POINT (-58.4376079111887 -34.6049834827746);FLAMENCOS;MUSEO CIENCIAS NATURALES;ALFREDO BIGATTI;BAJORRELIEVE;1938.0;2.50 X 1.50;FACHADA;GALLARDO, ANGEL AV. 470;AV. ANGEL GALLARDO 470;GALLARDO, ANGEL AV.;445;Caballito;Comuna 6
207;POINT (-58.4376079111887 -34.6049834827746);TAPIRES;MUSEO CIENCIAS NATURALES;ALFREDO BIGATTI;BAJORRELIEVE;1938.0;2.50 X 1.50;FACHADA;GALLARDO, ANGEL AV. 470;AV. ANGEL GALLARDO 470;GALLARDO, ANGEL AV.;445;Caballito;Comuna 6
208;POINT (-58.4376079111887 -34.6049834827746);LLAMAS;MUSEO CIENCIAS NATURALES;DONATO A. PROIETTO;BAJORRELIEVE;1938.0;2.50 X 1.50;FACHADA;GALLARDO, ANGEL AV. 470;AV. ANGEL GALLARDO 470;GALLARDO, ANGEL AV.;445;Caballito;Comuna 6
209;POINT (-58.4376079111887 -34.6049834827746);CONDORES;MUSEO CIENCIAS NATURALES;DONATO A. PROIETTO;BAJORRELIEVE;1938.0;2.50 X 1.50;FACHADA;GALLARDO, ANGEL AV. 470;AV. ANGEL GALLARDO 470;GALLARDO, ANGEL AV.;445;Caballito;Comuna 6
210;POINT (-58.4376079111887 -34.6049834827746);PUMAS;MUSEO CIENCIAS NATURALES;EMILIO J. SARNIGUET;BAJORRELIEVE;1938.0;2.50 X 1.50;FACHADA;GALLARDO, ANGEL AV. 470;AV. ANGEL GALLARDO 470;GALLARDO, ANGEL AV.;445;Caballito;Comuna 6
211;POINT (-58.4376079111887 -34.6049834827746);GUANACOS;MUSEO CIENCIAS NATURALES;LUIS C. ROVATTI;BAJORRELIEVE;1938.0;2.50 X 1.50;FACHADA;GALLARDO, ANGEL AV. 470;AV. ANGEL GALLARDO 470;GALLARDO, ANGEL AV.;445;Caballito;Comuna 6
212;POINT (-58.4376079111887 -34.6049834827746);ABORIGENES;MUSEO CIENCIAS NATURALES;LUIS C. ROVATTI;BAJORRELIEVE;1938.0;2.50 X 1.50;FACHADA;GALLARDO, ANGEL AV. 470;AV. ANGEL GALLARDO 470;GALLARDO, ANGEL AV.;445;Caballito;Comuna 6
213;POINT (-58.4376079111887 -34.6049834827746);FOCAS Y LOBO DE MAR;MUSEO CIENCIAS NATURALES;JUAN CARLOS OLIVA NAVARRO;BAJORRELIEVE;1938.0;2.50 X 1.50;FACHADA;GALLARDO, ANGEL AV. 470;AV. ANGEL GALLARDO 470;GALLARDO, ANGEL AV.;445;Caballito;Comuna 6
214;POINT (-58.3769045796118 -34.5986308548241);ALEGORIAS;SOCIEDAD ESTIMULO DE BELLAS ARTES;CARLOS TERRIBILI;PINTURA MURAL;1996.0;12 X 3;FACHADA;CORDOBA AV. 701;AV. CORDOBA 701;MAIPU;802;Retiro;Comuna 1
215;POINT (-58.3830209847215 -34.6036058842873);EL TALLER;CENTRO CULTURAL DE LA COOPERACION;CARLOS ALONSO;ACRILICO SOBRE TELA;2002.0;2.30 X 3;PLANTA BAJA;CORRIENTES AV. 1153;AV. CORRIENTES 1153;CORRIENTES AV.;1145;San Nicolas;Comuna 1
216;POINT (-58.3830209847215 -34.6036058842873);LA VIDA SOBRE LA MESA;CENTRO CULTURAL DE LA COOPERACION;RODOLFO CAMPODONICO;OLEO SOBRE TELA;2002.0;3 X 2.30;SUBSUELO;CORRIENTES AV. 1153;AV. CORRIENTES 1153;CORRIENTES AV.;1145;San Nicolas;Comuna 1
217;POINT (-58.3830209847215 -34.6036058842873);LA MAREA DONDE ARDIA;CENTRO CULTURAL DE LA COOPERACION;ANIBAL CEDRON;ACRILICO SOBRE TELA;2002.0;2.30 X 3;SUBSUELO;CORRIENTES AV. 1153;AV. CORRIENTES 1153;CORRIENTES AV.;1145;San Nicolas;Comuna 1
218;POINT (-58.3830209847215 -34.6036058842873);CAMINO A LA SOLIDARIDAD, LA COOPERACION Y LA ESPERANZA;CENTRO CULTURAL DE LA COOPERACION;LUIS FELIPE NOE;ACRILICO SOBRE TELA;2002.0;3 X 2.30;SUBSUELO;CORRIENTES AV. 1153;AV. CORRIENTES 1153;CORRIENTES AV.;1145;San Nicolas;Comuna 1
219;POINT (-58.3830209847215 -34.6036058842873);!AH, LA VACA!;CENTRO CULTURAL DE LA COOPERACION;CARLOS GORRIARENA;ACRILICO SOBRE TELA;2002.0;2.30 X 3;PLANTA BAJA;CORRIENTES AV. 1153;AV. CORRIENTES 1153;CORRIENTES AV.;1145;San Nicolas;Comuna 1
220;POINT (-58.3883296951729 -34.6043161981085);ALEGORIA;TEATRO GRAL. SAN MARTIN;CARLOS DE LA CARCOVA;ALTORELIEVE;1959.0;5 X 3;HALLSALA CASACUBERTA;CORRIENTES AV. 1530;AV. CORRIENTES 1530;CORRIENTES AV.;1524;San Nicolas;Comuna 1
221;POINT (-58.3883296951729 -34.6043161981085);EL NACIMIENTO DEL TEATRO ARGENTINO;TEATRO GRAL. SAN MARTIN;LUIS SEOANE;PINTURA MURALCON RESINAS SINTETICAS;1959.0;35 X 11;HALLSALA CASACUBERTA;CORRIENTES AV. 1530;AV. CORRIENTES 1530;CORRIENTES AV.;1524;San Nicolas;Comuna 1
222;POINT (-58.3883296951729 -34.6043161981085);ALEGORIA;TEATRO GRAL. SAN MARTIN;JUAN BATLLE PLANAS;MURAL CERAMICO;1960.0;24 X 2.90;SALA CARLOS MOREL;CORRIENTES AV. 1530;AV. CORRIENTES 1530;CORRIENTES AV.;1524;San Nicolas;Comuna 1
223;POINT (-58.3883296951729 -34.6043161981085);EL TEATRO CRIOLLO;TEATRO GRAL. SAN MARTIN;JOSE FIORAVANTI;ALTORELIEVE EN CEMENTO COLOREADO;1959.0;5 X 2.50;HALLSALA MARTIN CORONADO;CORRIENTES AV. 1530;AV. CORRIENTES 1530;CORRIENTES AV.;1524;San Nicolas;Comuna 1
224;POINT (-58.3883296951729 -34.6043161981085);TITULO DESCONOCIDO;TEATRO GRAL. SAN MARTIN;JUAN ANTONIO BALLESTER PEÑA;MURAL CERAMICO;1959.0;S/M;SALA LEOPOLDO LUGONES;CORRIENTES AV. 1530;AV. CORRIENTES 1530;CORRIENTES AV.;1524;San Nicolas;Comuna 1
225;POINT (-58.3883296951729 -34.6043161981085);NUNCA RECUERDO OLVIDARTE;TEATRO GRAL. SAN MARTIN;ROGELIO POLESELLO;MURAL DE PASTILLAS DE PASTA DE VIDRIO;2006.0;S/M;SALA LEOPOLDO LUGONES;CORRIENTES AV. 1530;AV. CORRIENTES 1530;CORRIENTES AV.;1524;San Nicolas;Comuna 1
226;POINT (-58.3883296951729 -34.6043161981085);LOS HERMANOS PODESTA;TEATRO GRAL. SAN MARTIN;LUIS DIEGO PEDREIRA;MURAL CERAMICO;2000.0;S/M;SALA CUNIL CABANILLAS;CORRIENTES AV. 1530;AV. CORRIENTES 1530;CORRIENTES AV.;1524;San Nicolas;Comuna 1
227;POINT (-58.3745800806942 -34.6083994821362);ATENEA Y LAS MUSAS;CASA DE LA CULTURA;NAZARENO ORLANDI;MAROUFLAGE (OLEO SOBRE TELA PEGADO AL CIELORRASO);1898.0;S/M;SALON DORADO;DE MAYO AV. 575;AV. DE MAYO 575;DE MAYO AV.;591;Monserrat;Comuna 1
228;POINT (-58.3932197880043 -34.5840814318945);COCINA CRIOLLA;MUSEO NACIONAL DE BELLAS ARTES;ALFREDO BIGATTI;RELIEVE EN BRONCE;1937.0;S/M;SALA DE EXPOSICIONES;DEL LIBERTADOR AV. 1473;AV. DEL LIBERTADOR 1473;DEL LIBERTADOR AV.;1473;Recoleta;Comuna 2
229;POINT (-58.4051726771974 -34.5798455549708);HOMENAJE AL ARTISTA ARTESANO;MUSEO DE ARTE POPULAR JOSE HERNANDEZ;ALEJANDRO PUENTE;MURAL DE PASTILLAS DE PASTA DE VIDRIO;2007.0;S/M;ACCESO;DEL LIBERTADOR AV. 2373;AV. DEL LIBERTADOR 2373;DEL LIBERTADOR AV.;2373;Palermo;Comuna 14
230;POINT (-58.3666549364043 -34.6242082032751);BAILONGO DEL 900;DIARIO CRONICA;CARLOS GENOVESE;PINTURA MURAL;1998.0;3 X 2;FACHADA;GARAY, JUAN DE AV. 102;AV. GARAY 102;AZOPARDO;1455;San Telmo;Comuna 1
231;POINT (-58.3920889854682 -34.5913599071051);LAS MUJERES SABIAS;COLEGIO DE ESCRIBANOS;RAUL SOLDI;MAROUFLAGE (OLEO SOBRE TELA PEGADO A LA PARED);1972.0;S/M;SALON SOLDI;LAS HERAS GENERAL AV. 1833;AV.LAS HERAS 1833;LAS HERAS GENERAL AV.;1837;Recoleta;Comuna 2
232;POINT (-58.3606751590047 -34.6388602918762);SALUDO A LA BANDERA;TEATRO DE LA RIBERA;BENITO QUINQUELA MARTIN;OLEO S/ HARBOARD;1968.0;4 X 4;SALA TEATRAL;DON PEDRO DE MENDOZA AV. 1821;AV. PEDRO DE MENDOZA 1821;DON PEDRO DE MENDOZA AV.;1819;Boca;Comuna 4
233;POINT (-58.3606751590047 -34.6388602918762);PROCESION NAUTICA;TEATRO DE LA RIBERA;BENITO QUINQUELA MARTIN;OLEO S/ HARBOARD;1968.0;4 X 4;SALA TEATRAL;DON PEDRO DE MENDOZA AV. 1821;AV. PEDRO DE MENDOZA 1821;DON PEDRO DE MENDOZA AV.;1819;Boca;Comuna 4
234;POINT (-58.3606751590047 -34.6388602918762);DIA DEL TRABAJO;TEATRO DE LA RIBERA;BENITO QUINQUELA MARTIN;OLEO S/ HARBOARD;1968.0;4 X 4;SALA TEATRAL;DON PEDRO DE MENDOZA AV. 1821;AV. PEDRO DE MENDOZA 1821;DON PEDRO DE MENDOZA AV.;1819;Boca;Comuna 4
235;POINT (-58.3606751590047 -34.6388602918762);TANGO DE LA RIBERA;TEATRO DE LA RIBERA;BENITO QUINQUELA MARTIN;OLEO S/ HARBOARD;1968.0;4 X 4;SALA TEATRAL;DON PEDRO DE MENDOZA AV. 1821;AV. PEDRO DE MENDOZA 1821;DON PEDRO DE MENDOZA AV.;1819;Boca;Comuna 4
236;POINT (-58.3606751590047 -34.6388602918762);ARRANCANDO;TEATRO DE LA RIBERA;BENITO QUINQUELA MARTIN;OLEO S/ HARBOARD;1967.0;4 X 4;SALA TEATRAL;DON PEDRO DE MENDOZA AV. 1821;AV. PEDRO DE MENDOZA 1821;DON PEDRO DE MENDOZA AV.;1819;Boca;Comuna 4
237;POINT (-58.3606751590047 -34.6388602918762);DIA DE FIESTA;TEATRO DE LA RIBERA;BENITO QUINQUELA MARTIN;OLEO S/ HARBOARD;1967.0;4 X 4;SALA TEATRAL;DON PEDRO DE MENDOZA AV. 1821;AV. PEDRO DE MENDOZA 1821;DON PEDRO DE MENDOZA AV.;1819;Boca;Comuna 4
238;POINT (-58.3606751590047 -34.6388602918762);RINCON DE LA BOCA;TEATRO DE LA RIBERA;BENITO QUINQUELA MARTIN;OLEO S/ HARBOARD;1968.0;4 X 4;HALLPRIMER PISO;DON PEDRO DE MENDOZA AV. 1821;AV. PEDRO DE MENDOZA 1821;DON PEDRO DE MENDOZA AV.;1819;Boca;Comuna 4
239;POINT (-58.3848351392105 -34.595442963553);DESCARGANDO CARBON;CASA DEL TEATRO , TEATRO REGINA;BENITO QUINQUELA MARTIN;OLEO S/ TELA;1928.0;3 X 5;FOYER;SANTA FE AV. 1235;AV. SANTA FE 1235;SANTA FE AV.;1235;Retiro;Comuna 1
240;POINT (-58.3848351392105 -34.595442963553);EN PLENA ACTIVIDAD;CASA DEL TEATRO , TEATRO REGINA;BENITO QUINQUELA MARTIN;OLEO S/ TELA;1928.0;3 X 5;FOYER;SANTA FE AV. 1235;AV. SANTA FE 1235;SANTA FE AV.;1235;Retiro;Comuna 1
241;POINT (-58.4062792716649 -34.6038657218139);ALEGORIA DE LA POESIA, LA TRAGEDIA, LA DANZA, LA COMEDIA Y LA MUSICA;TEATRO IFT;C.BISCIONE, M.GLORIOSO, W. VILADRICH;RELIEVE ESCULTORICO EN PIEDRA;1952.0;2.50 X 3.60;TERRAZA;BOULOGNE SUR MER 547;BOULOGNE SUR MER 547;BOULOGNE SUR MER;543;Balvanera;Comuna 3
242;POINT (-58.4062792716649 -34.6038657218139);HISTORIA DE LOS TEATROS ARGENTINO Y JUDIO;TEATRO IFT;JULIO BARRAGAN Y OTROS;PINTURA MURAL;1952.0;15 X 3;SALA DE 2° PISO;BOULOGNE SUR MER 547;BOULOGNE SUR MER 547;BOULOGNE SUR MER;543;Balvanera;Comuna 3
243;POINT (-58.4062792716649 -34.6038657218139);EL TEATRO ES ESCUELA PARA ADULTOS;TEATRO IFT;JUAN CARLOS CASTAGNINO;GRABADO EN MARMOL;1952.0;IRREGULAR;FOYER TEATRO;BOULOGNE SUR MER 547;BOULOGNE SUR MER 547;BOULOGNE SUR MER;543;Balvanera;Comuna 3
244;POINT (-58.4062792716649 -34.6038657218139);MUSICOS POPULARES;TEATRO IFT;MANUEL KANTOR;GRABADO EN MARMOL;1952.0;IRREGULAR;ENTREPISO FOYER;BOULOGNE SUR MER 547;BOULOGNE SUR MER 547;BOULOGNE SUR MER;543;Balvanera;Comuna 3
245;POINT (-58.4062792716649 -34.6038657218139);CANTANTES POPULARES;TEATRO IFT;BARTOLOME MIRABELLI;GRABADO EN MARMOL;1952.0;IRREGULAR;ENTREPISO FOYER;BOULOGNE SUR MER 547;BOULOGNE SUR MER 547;BOULOGNE SUR MER;543;Balvanera;Comuna 3
246;POINT (-58.3618245197438 -34.6393859692576);RINCON BOQUENSE;CALLE MUSEO;BENITO QUINQUELA MARTIN;MOSAICO VENECIANO;0.0;1 X 1.20;CALLE;CAMINITO y MAGALLANES;CAMINITO;DON PEDRO DE MENDOZA AV.;1895;Boca;Comuna 4
247;POINT (-58.3618245197438 -34.6393859692576);LA CANCION;CALLE MUSEO;JULIO VERGOTTINI;BAJORRELIEVE;1948.0;1.70 X 2.40;CALLE;CAMINITO y MAGALLANES;CAMINITO;DON PEDRO DE MENDOZA AV.;1895;Boca;Comuna 4
248;POINT (-58.3618245197438 -34.6393859692576);GUARDIA VIEJA - TANGO;CALLE MUSEO;ISRAEL HOFFMAN;BAJORRELIEVE;1948.0;0.75 X 1.45;CALLE;CAMINITO y MAGALLANES;CAMINITO;DON PEDRO DE MENDOZA AV.;1895;Boca;Comuna 4
249;POINT (-58.3618245197438 -34.6393859692576);ESPERANDO LA BARCA;CALLE MUSEO;ROBERTO CAPURRO;ALTORELIEVE;1948.0;1.40 X 1.40;CALLE;CAMINITO y MAGALLANES;CAMINITO;DON PEDRO DE MENDOZA AV.;1895;Boca;Comuna 4
250;POINT (-58.3618245197438 -34.6393859692576);HERRERO BOQUENSE;CALLE MUSEO;MARISA BALMASEDA KRAUSE;BAJORRELIEVE;1948.0;0.95 X 1.75;CALLE;CAMINITO y MAGALLANES;CAMINITO;DON PEDRO DE MENDOZA AV.;1895;Boca;Comuna 4
251;POINT (-58.3618245197438 -34.6393859692576);LAS TEJEDORAS;CALLE MUSEO;LUIS PERLOTTI;BAJORRELIEVE;1939.0;1.60 X 2.50;CALLE;CAMINITO y MAGALLANES;CAMINITO;DON PEDRO DE MENDOZA AV.;1895;Boca;Comuna 4
252;POINT (-58.3618245197438 -34.6393859692576);REGRESO DE LA PESCA;CALLE MUSEO;RICARDO SANCHEZ;MURAL CERAMICO;1965.0;3 X 5.3;CALLE;CAMINITO y MAGALLANES;CAMINITO;DON PEDRO DE MENDOZA AV.;1895;Boca;Comuna 4
253;POINT (-58.3618245197438 -34.6393859692576);SANTOS VEGA;CALLE MUSEO;LUIS PERLOTTI;BAJORRELIEVE;1948.0;1.10 X 1.80;CALLE;CAMINITO y MAGALLANES;CAMINITO;DON PEDRO DE MENDOZA AV.;1895;Boca;Comuna 4
254;POINT (-58.3618245197438 -34.6393859692576);FRAGATA SARMIENTO;CALLE MUSEO;YBARRA GARCIA;BAJORRELIEVE;1948.0;1.32 X 2.44;CALLE;CAMINITO y MAGALLANES;CAMINITO;DON PEDRO DE MENDOZA AV.;1895;Boca;Comuna 4
255;POINT (-58.3618245197438 -34.6393859692576);CLAVEL DEL AIRE;CALLE MUSEO;LUIS PERLOTTI;BAJORRELIEVE;1948.0;1 X 0.90;CALLE;CAMINITO y MAGALLANES;CAMINITO;DON PEDRO DE MENDOZA AV.;1895;Boca;Comuna 4
256;POINT (-58.3618245197438 -34.6393859692576);DIA DEL TRABAJO;CALLE MUSEO;BENITO QUINQUELA MARTIN;MURAL CERAMICO;1948.0;0.66 X 0.85;CALLE;CAMINITO y MAGALLANES;CAMINITO;DON PEDRO DE MENDOZA AV.;1895;Boca;Comuna 4
257;POINT (-58.3618245197438 -34.6393859692576);EL MAESTRO - EL CORO - EL TRABAJO (TRIPTICO);CALLE MUSEO;HUMBERTO CERANTONIO;ALTORELIEVE;1948.0;1.50 X 4.20;CALLE;CAMINITO y MAGALLANES;CAMINITO;DON PEDRO DE MENDOZA AV.;1895;Boca;Comuna 4
258;POINT (-58.3618245197438 -34.6393859692576);LA FAMILIA;CALLE MUSEO;MAR FERNANDEZ;BAJORRELIEVE;1948.0;0.88 X 1.25;CALLE;CAMINITO y MAGALLANES;CAMINITO;DON PEDRO DE MENDOZA AV.;1895;Boca;Comuna 4
259;POINT (-58.3618245197438 -34.6393859692576);LA SIRGA;CALLE MUSEO;JULIO VERGOTTINI;BAJORRELIEVE;1948.0;4 X 2.30;CALLE;CAMINITO y MAGALLANES;CAMINITO;DON PEDRO DE MENDOZA AV.;1895;Boca;Comuna 4
260;POINT (-58.4302766958493 -34.6046521036027);TITULO DESCONOCIDO;RADIO LA TzTRIBU;DIEGO PERROTA, VIVIANA GAROFOLI;PINTURA MURAL;1999.0;14 X 3;FACHADA;LAMBARE 873;LAMBARE 873;LAMBARE;875;Almagro;Comuna 5
261;POINT (-58.4270865285657 -34.6114212788722);IMPA, INDUSTRIA METALURGICA PLASTICA ARGENTINA;CENTRO CULTURAL IMPA;MARCELO CARPITA;PINTURA MURALCON APLICACIONES DE ALUMINIO;2002.0;S/M;ACCESO;QUERANDIES 4288;QUERANDIES 4288;QUERANDIES;4283;Almagro;Comuna 5
262;POINT (-58.3717305225515 -34.610305902224);GLORIFICACION A SAN FRANCISCO;SAN FRANCISCO;HORACIO BUTLER;TAPIZ;1969.0;8 X 12;;ALSINA, ADOLFO 380;ADOLFO ALSINA 380;ALSINA, ADOLFO;336;Monserrat;Comuna 1
263;POINT (-58.4234331667171 -34.5802404394557);RELATOS BIBLICOS;PARROQUIA SAGRADA EUCARISTIA;ARMANDO SICA;FRESCO;1955.0;1.85 X 4.50;ATRIO;SANTA FE AV. 4370;AV. SANTA FE 4370;SANTA FE AV.;4366;Palermo;Comuna 14
264;POINT (-58.4234331667171 -34.5802404394557);ANGELES;PARROQUIA SAGRADA EUCARISTIA;NORAH BORGES;PINTURA MURAL;1950.0;1.85 X 4.50;ALTAR MAYOR;SANTA FE AV. 4370;AV. SANTA FE 4370;SANTA FE AV.;4366;Palermo;Comuna 14
265;POINT (-58.3699665968526 -34.6251261695928);BAUTISMO DE RUSIA, 988/1988;IGLESIA ORTODOXA RUSA;ESC. NAC. DE CERAMICA FERNANDO  ARRANZ;MURAL CERAMICO;1990.0;2 X 3;MEDIANERA ACCESO;BRASIL AV. 315;BRASIL 315;BRASIL AV.;309;San Telmo;Comuna 1
266;POINT (-58.4422990303556 -34.6142652803984);TITULO DESCONOCIDO;PARROQUIA EL BUEN PASTOR;GERARDO CIANCIOLO;PINTURA MURALCON ESMALTE SINTETICO;2000.0;8 X 13;S/ALTAR MAYOR;ARANGUREN, JUAN F., DR. 693;DR. FELIPE ARANGUREN 693;ARANGUREN, JUAN F., Dr.;696;Caballito;Comuna 6
267;POINT (-58.4422990303556 -34.6142652803984);VIA CRUCIS;PARROQUIA EL BUEN PASTOR;MARCELO CARPITA;PINTURA MURALCON ESMALTE SINTETICO;2000.0;IRREGULAR;NAVE;ARANGUREN, JUAN F., DR. 693;DR. FELIPE ARANGUREN 693;ARANGUREN, JUAN F., Dr.;696;Caballito;Comuna 6
268;POINT (-58.3644399391902 -34.6279156978206);LA DESPEDIDA;NTRA.SRA.MADRE DE LOS EMIGRANTES;BENITO QUINQUELA MARTIN;MURAL CERAMICO;1967.0;3 X 4;FACHADA;NECOCHEA 312;NECOCHEA 312;NECOCHEA;312;Boca;Comuna 4
269;POINT (-58.3644399391902 -34.6279156978206);TITULO DESCONOCIDO;NTRA.SRA.MADRE DE LOS EMIGRANTES;RAUL RUSSO;VITRAUX;1967.0;3 X 4;ACCESO;NECOCHEA 312;NECOCHEA 312;NECOCHEA;312;Boca;Comuna 4
270;POINT (-58.3644399391902 -34.6279156978206);NUESTRA SEÑORA MADRE DE LOS EMIGRANTES;NTRA.SRA.MADRE DE LOS EMIGRANTES;ARMANDO SICA;VITRAUX;1967.0;3 X 4;LATERAL ALTAR;NECOCHEA 312;NECOCHEA 312;NECOCHEA;312;Boca;Comuna 4
271;POINT (-58.3644399391902 -34.6279156978206);SIMBOLOS EUCARISTICOS;NTRA.SRA.MADRE DE LOS EMIGRANTES;JUAN BALLESTER PEÑA;VITRAUX;1967.0;3 X 4;FRENTE ALTAR;NECOCHEA 312;NECOCHEA 312;NECOCHEA;312;Boca;Comuna 4
272;POINT (-58.3644399391902 -34.6279156978206);LOS INMIGRANTES;NTRA.SRA.MADRE DE LOS EMIGRANTES;GERARDO CIANCIOLO;PINTURA MURAL;1995.0;3 X 4;EXTERIOR LATERAL;NECOCHEA 312;NECOCHEA 312;NECOCHEA;312;Boca;Comuna 4
273;POINT (-58.3731118549293 -34.6078141791827);SAN SIMON;CATEDRAL METROPOLITANA;FRANCISCO PAOLO PARISI;PINTURA MURALAL ENCAUSTO;1901.0;S/M;NAVECENTRAL;RIVADAVIA AV. 437;RIVADAVIA 437;RIVADAVIA AV.;437;San Nicolas;Comuna 1
274;POINT (-58.3731118549293 -34.6078141791827);SAN TADEO;CATEDRAL METROPOLITANA;FRANCISCO PAOLO PARISI;PINTURA MURALAL ENCAUSTO;1901.0;S/M;NAVECENTRAL;RIVADAVIA AV. 437;RIVADAVIA 437;RIVADAVIA AV.;437;San Nicolas;Comuna 1
275;POINT (-58.5021923505583 -34.5632425219439);SAN JUAN EL PRECURSOR;IGLESIA SAN JUAN EL PRECURSOR;GASTON JARRY;FRESCO;1945.0;S/M;S/ALTAR;YRURTIA, ROGELIO 5800;ROGELIO YRURTIA 5800;PELLEGRINI, CARLOS E.;5695;Saavedra;Comuna 12
276;POINT (-58.4101786377664 -34.6504234248026);LA ALMOHADA DE LOS POBRES;NUESTRA SEÑORA DE LA DIVINA PROVIDENCIA;MARIA SZEKELY;FRESCOS (12);1959.0;S/M;NAVE;TRAFUL 3535;TRAFUL 3535;TRAFUL;3525;Nueva Pompeya;Comuna 4
277;POINT (-58.3880221839575 -34.6148602922551);GALICIA;CENTRO CULTURAL BETANZOS;JUAN MANUEL SANCHEZ;OLEO SOBRE TELA;2007.0;S/M;AUDITORIO;REPUBLICA BOLIVARIANA DE VENEZUELA 1536;VENEZUELA 1536;REPUBLICA BOLIVARIANA DE VENEZUELA;1534;Monserrat;Comuna 1
278;POINT (-58.3606365474824 -34.6460445148964);EL BALCON;BARRACA MERLO;JUAN CARLOS VICTORICA;MURAL CERAMICO;1924.0;3.60 X 4.80;FACHADA;DON PEDRO DE MENDOZA AV. 2841;AV. PEDRO DE MENDOZA 2841;DON PEDRO DE MENDOZA AV.;2847;Boca;Comuna 4
279;POINT (-58.3606365474824 -34.6460445148964);EMBARQUE DE GRANOS;BARRACA MERLO;BENITO QUINQUELA MARTIN;MURAL CERAMICO;1924.0;5.10 X 5.85;FACHADA;DON PEDRO DE MENDOZA AV. 2841;AV. PEDRO DE MENDOZA 2841;DON PEDRO DE MENDOZA AV.;2847;Boca;Comuna 4
280;POINT (-58.3606365474824 -34.6460445148964);CALLE DE LA BOCA;BARRACA MERLO;FORTUNATO LACAMERA;MURAL CERAMICO;1924.0;4.80 X 5;FACHADA;DON PEDRO DE MENDOZA AV. 2841;AV. PEDRO DE MENDOZA 2841;DON PEDRO DE MENDOZA AV.;2847;Boca;Comuna 4
281;POINT (-58.4821265427489 -34.5849539871275);DESCUBRIMIENTO DE AMERICA;"ESCUELA N° 27, DE15, PETRONILA RODRIGUEZ""""";CHIESA - CASTAGNA - BALDINI;FRESCO;1935.0;S/M;SALON DE ACTOS;ANDONAEGUI 1532;ANDONAEGUI 1532;ANDONAEGUI;1532;Parque Chas;Comuna 15
282;POINT (-58.4051417284649 -34.5836312637925);LA EDUCACION ES UN DERECHO;ESCUELA HERRERA VEGAS;GERARDO CIANCIOLO;PINTURA MURAL;2004.0;S/M;HALLACCESO;LAS HERAS GENERAL AV. 3086;AV. LAS HERAS 3086;LAS HERAS GENERAL AV.;3054;Recoleta;Comuna 2
283;POINT (-58.3608885257099 -34.6389122827747);REGRESO DE LA PESCA;ESCUELA MUSEO;BENITO QUINQUELA MARTIN;OLEO S/ TELA;1936.0;6.50 X 2.70;"AULA E.J.SARNIGUET""""";DON PEDRO DE MENDOZA AV. 1835;AV. PEDRO DE MENDOZA 1835;DON PEDRO DE MENDOZA AV.;1821;Boca;Comuna 4
284;POINT (-58.3608885257099 -34.6389122827747);LA DESPEDIDA;ESCUELA MUSEO;BENITO QUINQUELA MARTIN;OLEO S/ TELA;1936.0;2.70 X 6.50;"AULA E.SIVORI""""";DON PEDRO DE MENDOZA AV. 1835;AV. PEDRO DE MENDOZA 1835;DON PEDRO DE MENDOZA AV.;1821;Boca;Comuna 4
285;POINT (-58.3608885257099 -34.6389122827747);CARGADORAS DE NARANJAS EN CORRIENTES;ESCUELA MUSEO;BENITO QUINQUELA MARTIN;OLEO S/ TELA;1936.0;6.50 X 2.70;"AULA A.ALICE""""";DON PEDRO DE MENDOZA AV. 1835;AV. PEDRO DE MENDOZA 1835;DON PEDRO DE MENDOZA AV.;1821;Boca;Comuna 4
