;WKT;NOMBRE;CARACT_SIT;AUTORES;TECNICA;F_E;TAMAÑO_TS;UBICACION;DIRECCION;DOM_ORIG;CALLE;ALTURA;BARRIO;COMUNA
147;POINT (-58.4298521724874 -34.5819742885069);HACHADORES;MUROS DEL FCG SAN MARTIN;ALFREDO SEGATORI (PELADO);PINTURA MURALEN AEROSOL;1999.0;IRREGULAR;S/ LINEA OFICIAL DE EDIFICACION;JUSTO, JUAN B. AV. 1000;AV. JUAN B. JUSTO AL 1000;JUSTO, JUAN B. AV.;991;Palermo;Comuna 14
148;POINT (-58.3571361615851 -34.6380998118653);HOMENAJE A NUESTROS HERMANOS NATIVOS DE AMERICA;CUARTEL DE BOMBEROS;ANDRES BESTARD Y COLABORADORES;MURAL ESGRAFIADO;1978.0;18 X 6;FACHADA;DON PEDRO DE MENDOZA AV. 1600;AV. PEDRO DE MENDOZA AL 1600;BROWN, ALTE. AV.;1487;Boca;Comuna 4
149;POINT (-58.3830833402919 -34.5922739206114);TROMPE ´L OEIL;PLAZA CATALUÑA;B.J.F.C.;PINTURA MURAL;1996.0;S/M;MED. EMBAJADA DE FRANCIA;CERRITO 1350;CERRITO AL 1300;CERRITO;1350;Retiro;Comuna 1
150;POINT (-58.3935822466961 -34.6242283173917);PATORUZU E ISIDORO;PLAZA FRANCISCO CANARO;DANTE QUINTERNO;;2000.0;S/M;;COCHABAMBA y SARANDI;COCHABAMBA E/ COMBATE DE LOS POZOS Y SARANDI;SARANDI;1323;San Cristobal;Comuna 3
151;POINT (-58.3617110485423 -34.6391653461486);DON BENITO QUINQUELA MARTIN;;VINCENT WALTER;RELIEVE EN CEMENTO PATINADO;1990.0;1.50 X 2.50;FACHADA;VALLE IBERLUCEA DEL, DR. 1282;DR. ENRIQUE DEL VALLE IBARLUCEA 1282;DON PEDRO DE MENDOZA AV.;1887;Boca;Comuna 4
152;POINT (-58.3701951082343 -34.6089872776541);PRIMER TRUEQUE;MINISTERIO DE ECONOMIA;JORGE SOTO ACEBAL;OLEO S/ TELA;1939.0;3.40 X 2.76;HALL;YRIGOYEN, HIPOLITO AV. 250;HIPOLITO YRIGOYEN 250 / BALCARCE 139;YRIGOYEN, HIPOLITO AV.;250;Monserrat;Comuna 1
153;POINT (-58.3701951082343 -34.6089872776541);PRINCIPIOS DE LA CORRIENTE INMIGRATORIA;MINISTERIO DE ECONOMIA;JORGE SOTO ACEBAL;OLEO S/ TELA;1939.0;3.40 X 2.76;HALL;YRIGOYEN, HIPOLITO AV. 250;HIPOLITO YRIGOYEN 250 / BALCARCE 139;YRIGOYEN, HIPOLITO AV.;250;Monserrat;Comuna 1
154;POINT (-58.3701951082343 -34.6089872776541);LA COSECHA;MINISTERIO DE ECONOMIA;RAUL MAZZA;ÖLEO S/TELA;1939.0;1.67 X 2.77;OF 1220;YRIGOYEN, HIPOLITO AV. 250;HIPOLITO YRIGOYEN 250 / BALCARCE 139;YRIGOYEN, HIPOLITO AV.;250;Monserrat;Comuna 1
155;POINT (-58.3701951082343 -34.6089872776541);PUERTOS ARGENTINOS;MINISTERIO DE ECONOMIA;GASTON JARRY;OLEO S/ TELA;1939.0;2.34 X 2.78;OF 528;YRIGOYEN, HIPOLITO AV. 250;HIPOLITO YRIGOYEN 250 / BALCARCE 139;YRIGOYEN, HIPOLITO AV.;250;Monserrat;Comuna 1
156;POINT (-58.3701951082343 -34.6089872776541);VENDIMIA;MINISTERIO DE ECONOMIA;ANTONIO RAMON PIBERNAT;OLEO S/ TELA;1939.0;2.34 X 2.77;OF 511;YRIGOYEN, HIPOLITO AV. 250;HIPOLITO YRIGOYEN 250 / BALCARCE 139;YRIGOYEN, HIPOLITO AV.;250;Monserrat;Comuna 1
157;POINT (-58.3701951082343 -34.6089872776541);ASERRADERO;MINISTERIO DE ECONOMIA;EMILIO CENTURION;OLEO S/ TELA;1939.0;1.67 X 2.78;SALON DE CUADROS;YRIGOYEN, HIPOLITO AV. 250;HIPOLITO YRIGOYEN 250 / BALCARCE 139;YRIGOYEN, HIPOLITO AV.;250;Monserrat;Comuna 1
158;POINT (-58.3701951082343 -34.6089872776541);NATIVOS NORTEÑOS EN MERCADO REGIONAL;MINISTERIO DE ECONOMIA;ADOLFO MONTERO;OLEO S/ TELA;1939.0;1.68 X 2.78;OF 820;YRIGOYEN, HIPOLITO AV. 250;HIPOLITO YRIGOYEN 250 / BALCARCE 139;YRIGOYEN, HIPOLITO AV.;250;Monserrat;Comuna 1
159;POINT (-58.3701951082343 -34.6089872776541);ASERRADERO;MINISTERIO DE ECONOMIA;ERNESTO RICCIO;OLEO S/ TELA;1939.0;1.67 X 2.77;OF 513;YRIGOYEN, HIPOLITO AV. 250;HIPOLITO YRIGOYEN 250 / BALCARCE 139;YRIGOYEN, HIPOLITO AV.;250;Monserrat;Comuna 1
160;POINT (-58.3701951082343 -34.6089872776541);RIQUEZAS ARGENTINAS;MINISTERIO DE ECONOMIA;ANTONIO ALICE;OLEO S/ TELA;1939.0;2.32 X 3.52;HALL6 PISO;YRIGOYEN, HIPOLITO AV. 250;HIPOLITO YRIGOYEN 250 / BALCARCE 139;YRIGOYEN, HIPOLITO AV.;250;Monserrat;Comuna 1
161;POINT (-58.3701951082343 -34.6089872776541);NATIVOS OFRECIENDO RIQUEZAS;MINISTERIO DE ECONOMIA;EDELMIRO LESCANO CEBALLOS;OLEO S/ TELA;1939.0;1.67 X 2.77;OF 1020;YRIGOYEN, HIPOLITO AV. 250;HIPOLITO YRIGOYEN 250 / BALCARCE 139;YRIGOYEN, HIPOLITO AV.;250;Monserrat;Comuna 1
162;POINT (-58.3701951082343 -34.6089872776541);LA SEGADORA;MINISTERIO DE ECONOMIA;PAULINA BLINDER;OLEO S/ TELA;1939.0;.67 X .50;OF 606;YRIGOYEN, HIPOLITO AV. 250;HIPOLITO YRIGOYEN 250 / BALCARCE 139;YRIGOYEN, HIPOLITO AV.;250;Monserrat;Comuna 1
163;POINT (-58.3763716876341 -34.6087019330975);DIA DE TRABAJO EN LA BOCA;BANCO HBSC;BENITPO QUINQUELA MARTIN;OLEO SOBRE MADERA;1962.0;S/M;HALL;DE MAYO AV. y CHACABUCO;AV. DE MAYO 501 ESQ CHACABUCO 17;CHACABUCO;52;Monserrat;Comuna 1
164;POINT (-58.39259561619 -34.6019859788565);;SAN SALVADOR;NAZARENO ORLANDI;FRESCO;0.0;S/M;BOVEDA NAVECENTRAL;CALLAO AV. y TUCUMAN;AV. CALLAO 540 ESQUINA TUCUMAN;TUCUMAN;1785;Balvanera;Comuna 3
165;POINT (-58.3772948008078 -34.6479612838432);TITULO DESCONOCIDO;CENTRAL PARK, EX FABRIL FINANCIERA;PEREZ CELIS;PINTURA MURAL;1999.0;S/M;FACHADA;CALIFORNIA 2084;CALIFORNIA 2084/94;VIEYTES;1309;Barracas;Comuna 4
166;POINT (-58.3598648394233 -34.6387874339039);TITULO DESCONOCIDO;ENET Ns31 DE ARTES GRAFICAS;BENITO QUINQUELA MARTIN;ESMALTE A FUEGO S/ PLANCHAS DE HIERRO;1949.0;S/M;PATIO;DON PEDRO DE MENDOZA AV. 1777;AV. PEDRO DE MENDOZA 1777, LAMADRID 576;DON PEDRO DE MENDOZA AV.;1777;Boca;Comuna 4
167;POINT (-58.3603025791975 -34.638981239287);OBREROS EN ACTIVIDAD;"JARDIN MATERNAL BENITO QUINQUELA MARTIN""""";BENITO QUINQUELA MARTIN;ESMALTE A FUEGO S/ PLANCHAS DE HIERRO;1946.0;S/M;PATIO;DON PEDRO DE MENDOZA AV. y PALOS;AV. PEDRO DE MENDOZA 1801, ESQ. PALOS;DON PEDRO DE MENDOZA AV.;1791;Boca;Comuna 4
168;POINT (-58.4033260730701 -34.6099736001507);SALUD, PAZ Y DEMOCRACIA;DIRECCION DE SANIDAD ESCOLAR;MONICA CORRALES;ESGRAFIADO;1988.0;S/M;FACHADA;SAAVEDRA y RIVADAVIA AV.;SAAVEDRA 15 ESQ. AV. RIVADAVIA;RIVADAVIA AV.;2594;Balvanera;Comuna 3
169;POINT (-58.3721038503197 -34.6348325691755);HOMENAJE A 30 AÑOS DE LA NOCHE DE LOS LAPICES;ESC. DE BELLAS ARTES MANUEL BELGRANO;JULIAN CRIGNA Y PABLO LOPEZ;XILOGRABADO Y PINTURA MURAL;2007.0;S/M;SEGUNDO PISO;VILLAFAÑE, WENCESLAO y AZARA;WENCESLAO VILLAFAÑE 1342 ESQ. AZARA;AZARA;295;Barracas;Comuna 4
