rango,nombre,descripcion,categoria,publicaciones,seguidores,me_gusta_promedio,tasa_participacion
184,chelseafc,community,"Health, Sports & Fitness",17300.0,36600000.0,17290.0,0.6
185,shahidkapoor,male,entertainment,1200.0,36600000.0,1180.0,2.4
186,kimberly.loaiza,female,entertainment,578000.0,36600000.0,578000.0,4.4
187,toni.kr8s,male,"Health, Sports & Fitness",1000.0,36600000.0,970.0,1.2
188,antogriezmann,male,"Health, Sports & Fitness",872000.0,36400000.0,872000.0,1.8
189,mercedesbenz,brand,technology,18500.0,36400000.0,18480.0,0.3
190,nattinatasha,female,entertainment,54000.0,36100000.0,54000.0,1.3
191,tigerjackieshroff,male,entertainment,2200.0,36100000.0,2170.0,1.9
192,lunamaya,female,entertainment,4200.0,36100000.0,4170.0,0.2
193,mancity,male,"Health, Sports & Fitness",19600.0,36000000.0,19560.0,0.4
194,disney,brand,entertainment,7700.0,35800000.0,7700.0,0.3
195,barackobama,male,News & Politics,743000.0,35500000.0,743000.0,1.7
196,fcbayern,male,"Health, Sports & Fitness",16800.0,35400000.0,16780.0,0.6
197,colesprouse,male,entertainment,1100.0,35300000.0,1140.0,3.5
198,shaymitchell,male,entertainment,6300.0,35100000.0,6310.0,1.2
199,ivetesangalo,female,entertainment,7800.0,35000000.0,7770.0,0.4
200,paollaoliveirareal,female,entertainment,4800.0,34900000.0,4780.0,0.7
