DOMICILIO;CARACT_SITIO;AUTORES;F_E;TAAÑO_TS;UBICACION;TECNICA;NOMBRE_OBRA
BOULOGNE SUR MER 547;TEATRO IFT;C.BISCIONE, M.GLORIOSO, W. VILADRICH;1952;2.50 X 3.60;TERRAZA ;RELIEVE ESCULTORICO EN PIEDRA;ALEGORIA DE LA POESIA, LA TRAGEDIA, LA DANZA, LA COMEDIA Y LA MUSICA
BOULOGNE SUR MER 547;TEATRO IFT;JULIO BARRAGAN Y OTROS;1952;15 X 3;SALA DE 2° PISO;PINTURA MURAL;HISTORIA DE LOS TEATROS ARGENTINO Y JUDIO
BOULOGNE SUR MER 547;TEATRO IFT;JUAN CARLOS CASTAGNINO;1952;IRREGULAR;FOYER TEATRO;GRABADO EN MARMOL;EL TEATRO ES ESCUELA PARA ADULTOS
BOULOGNE SUR MER 547;TEATRO IFT;MANUEL KANTOR;1952;IRREGULAR;ENTREPISO FOYER;GRABADO EN MARMOL;MUSICOS POPULARES
BOULOGNE SUR MER 547;TEATRO IFT;BARTOLOME MIRABELLI;1952;IRREGULAR;ENTREPISO FOYER;GRABADO EN MARMOL;CANTANTES POPULARES
CAMINITO;CALLE MUSEO;BENITO QUINQUELA MARTIN;S/A;1 X 1.20;CALLE;MOSAICO VENECIANO;RINCON BOQUENSE
CAMINITO;CALLE MUSEO;JULIO VERGOTTINI;1948;1.70 X 2.40;CALLE;BAJORRELIEVE;LA CANCION
CAMINITO;CALLE MUSEO;ISRAEL HOFFMAN;1948;0.75 X 1.45;CALLE;BAJORRELIEVE;GUARDIA VIEJA - TANGO
CAMINITO;CALLE MUSEO;ROBERTO CAPURRO;1948;1.40 X 1.40;CALLE;ALTORELIEVE;ESPERANDO LA BARCA
CAMINITO;CALLE MUSEO;MARISA BALMASEDA KRAUSE;1948;0.95 X 1.75;CALLE;BAJORRELIEVE;HERRERO BOQUENSE
CAMINITO;CALLE MUSEO;LUIS PERLOTTI;1939;1.60 X 2.50;CALLE;BAJORRELIEVE;LAS TEJEDORAS
CAMINITO;CALLE MUSEO;RICARDO SANCHEZ;1965;3 X 5.3;CALLE;MURAL CERAMICO;REGRESO DE LA PESCA
CAMINITO;CALLE MUSEO;LUIS PERLOTTI;1948;1.10 X 1.80;CALLE;BAJORRELIEVE;SANTOS VEGA
CAMINITO;CALLE MUSEO;YBARRA GARCIA;1948;1.32 X 2.44;CALLE;BAJORRELIEVE;FRAGATA SARMIENTO
CAMINITO;CALLE MUSEO;LUIS PERLOTTI;1948;1 X 0.90;CALLE;BAJORRELIEVE;CLAVEL DEL AIRE
CAMINITO;CALLE MUSEO;BENITO QUINQUELA MARTIN;1948;0.66 X 0.85;CALLE;MURAL CERAMICO;DIA DEL TRABAJO
CAMINITO;CALLE MUSEO;HUMBERTO CERANTONIO;1948;1.50 X 4.20;CALLE;ALTORELIEVE;EL MAESTRO - EL CORO - EL TRABAJO (TRIPTICO)
CAMINITO;CALLE MUSEO;MAR FERNANDEZ;1948;0.88 X 1.25;CALLE;BAJORRELIEVE;LA FAMILIA
CAMINITO;CALLE MUSEO;JULIO VERGOTTINI;1948;4 X 2.30;CALLE;BAJORRELIEVE;LA SIRGA
LAMBARE 873;RADIO LA T¿TRIBU;DIEGO PERROTA, VIVIANA GAROFOLI;1999;14 X 3;FACHADA;PINTURA MURAL;TITULO DESCONOCIDO
QUERANDIES 4288;CENTRO CULTURAL IMPA;MARCELO CARPITA;2002;S/M;ACCESO;PINTURA MURALCON APLICACIONES DE ALUMINIO;IMPA, INDUSTRIA METALURGICA PLASTICA ARGENTINA
ADOLFO ALSINA 380;SAN FRANCISCO;HORACIO BUTLER;1969;8 X 12;;TAPIZ;GLORIFICACION A SAN FRANCISCO
AV. SANTA FE 4370;PARROQUIA SAGRADA EUCARISTIA;ARMANDO SICA;1955;1.85 X 4.50;ATRIO;FRESCO;RELATOS BIBLICOS
AV. SANTA FE 4370;PARROQUIA SAGRADA EUCARISTIA;NORAH BORGES;1950;1.85 X 4.50;ALTAR MAYOR;PINTURA MURAL;ANGELES
BRASIL 315;IGLESIA ORTODOXA RUSA;ESC. NAC. DE CERAMICA FERNANDO  ARRANZ;1990;2 X 3;MEDIANERA ACCESO;MURAL CERAMICO;BAUTISMO DE RUSIA, 988/1988
DR. FELIPE ARANGUREN 693;PARROQUIA EL BUEN PASTOR;GERARDO CIANCIOLO;2000;8 X 13;S/ALTAR MAYOR;PINTURA MURALCON ESMALTE SINTETICO;TITULO DESCONOCIDO
DR. FELIPE ARANGUREN 693;PARROQUIA EL BUEN PASTOR;MARCELO CARPITA;2000;IRREGULAR;NAVE;PINTURA MURALCON ESMALTE SINTETICO;VIA CRUCIS
NECOCHEA 312;NTRA.SRA.MADRE DE LOS EMIGRANTES;BENITO QUINQUELA MARTIN;1967;3 X 4;FACHADA;MURAL CERAMICO;LA DESPEDIDA
NECOCHEA 312;NTRA.SRA.MADRE DE LOS EMIGRANTES;RAUL RUSSO;1967;3 X 4;ACCESO;VITRAUX;TITULO DESCONOCIDO
NECOCHEA 312;NTRA.SRA.MADRE DE LOS EMIGRANTES;ARMANDO SICA;1967;3 X 4;LATERAL ALTAR;VITRAUX;NUESTRA SEÑORA MADRE DE LOS EMIGRANTES
NECOCHEA 312;NTRA.SRA.MADRE DE LOS EMIGRANTES;JUAN BALLESTER PEÑA;1967;3 X 4;FRENTE ALTAR;VITRAUX;SIMBOLOS EUCARISTICOS
NECOCHEA 312;NTRA.SRA.MADRE DE LOS EMIGRANTES;GERARDO CIANCIOLO;1995;3 X 4;EXTERIOR LATERAL;PINTURA MURAL;LOS INMIGRANTES
RIVADAVIA 437;CATEDRAL METROPOLITANA;FRANCISCO PAOLO PARISI;1901;S/M;NAVECENTRAL;PINTURA MURALAL ENCAUSTO ;SAN SIMON
RIVADAVIA 437;CATEDRAL METROPOLITANA;FRANCISCO PAOLO PARISI;1901;S/M;NAVECENTRAL;PINTURA MURALAL ENCAUSTO ;SAN TADEO
ROGELIO YRURTIA 5800;IGLESIA SAN JUAN EL PRECURSOR;GASTON JARRY;1945;S/M;S/ALTAR ;FRESCO;SAN JUAN EL PRECURSOR
TRAFUL 3535;NUESTRA SEÑORA DE LA DIVINA PROVIDENCIA;MARIA SZEKELY;1959;S/M;NAVE;FRESCOS (12);LA ALMOHADA DE LOS POBRES
VENEZUELA 1536;CENTRO CULTURAL BETANZOS;JUAN MANUEL SANCHEZ;2007;S/M;AUDITORIO;OLEO SOBRE TELA;GALICIA
AV. PEDRO DE MENDOZA 2841;BARRACA MERLO;JUAN CARLOS VICTORICA;1924;3.60 X 4.80;FACHADA;MURAL CERAMICO;EL BALCON
AV. PEDRO DE MENDOZA 2841;BARRACA MERLO;BENITO QUINQUELA MARTIN;1924;5.10 X 5.85;FACHADA;MURAL CERAMICO;EMBARQUE DE GRANOS
AV. PEDRO DE MENDOZA 2841;BARRACA MERLO;FORTUNATO LACAMERA;1924;4.80 X 5;FACHADA;MURAL CERAMICO;CALLE DE LA BOCA
ANDONAEGUI 1532;"ESCUELA N° 27, DE15, ""PETRONILA RODRIGUEZ""";CHIESA - CASTAGNA - BALDINI;1935;S/M;SALON DE ACTOS;FRESCO;DESCUBRIMIENTO DE AMERICA
AV. LAS HERAS 3086;ESCUELA HERRERA VEGAS;GERARDO CIANCIOLO;2004;S/M;HALLACCESO;PINTURA MURAL;LA EDUCACION ES UN DERECHO
AV. PEDRO DE MENDOZA 1835;ESCUELA MUSEO;BENITO QUINQUELA MARTIN;1936;6.50 X 2.70;"AULA ""E.J.SARNIGUET""";OLEO S/ TELA;REGRESO DE LA PESCA
AV. PEDRO DE MENDOZA 1835;ESCUELA MUSEO;BENITO QUINQUELA MARTIN;1936;2.70 X 6.50;"AULA ""E.SIVORI""";OLEO S/ TELA;LA DESPEDIDA
