DOMICILIO;CARACT_SITIO;AUTORES;F_E;TAAÑO_TS;UBICACION;TECNICA;NOMBRE_OBRA
AV. CABILDO 563;VIIVENDA MULTIFAMILIAR;PONCIANO CARDENAS CANEDO;1970;S/M;;MURAL CERAMICO;IMAGENES DE MI TIERRA
AV. CALLAO 1421;VIVIENDA MULTIFAMILIAR ;LUIS SEOANE;1956;S/M;HALL;PINTURA MURAL;MUSICOS Y LABRADORES
AV. CALLAO 2050;VIVIENDA MULTIFAMILIAR ;CARLOS ALONSO;1964;6 X 2;ACCESOA GARAGE;MURAL CERAMICO;JUGANDO CON MARIPOSAS
AV. CORRIENTES 2133;VIVIENDA MULTIFAMILIAR ;LUIS SEOANE;1972;S/M;ACCESOA GARAGE;RELIEVE;TITULO DESCONOCIDO
AV. DE LOS INCAS 3390;VIVIENDA MULTIFAMILIAR ;LUIS SEOANE;1971;2 X 5;HALLDE ENTRADA;OLEO;MARISQUERAS
AV. DEL LIBERTADOR 5266;VIVIENDA MULTIFAMILIAR ;SUSANA FEDRANO, RUBEN MANZO;1973;4 X 2.50;HALL;RELIEVE EN BRONCE Y COBRE;PUENTE
AV. JUAN B. JUSTO 2720;VIVIENDA MULTIFAMILIAR ;ANTONIO BERNI;1943;S/M;HALL;FRESCO;TITULO DESCONOCIDO
AV. JUAN B. JUSTO 2720;VIVIENDA MULTIFAMILIAR ;DEMETRIO URRUCHUA;1943;S/M;HALL;FRESCO;TITULO DESCONOCIDO
AV. PTE. ROQUE SAENZ PEÑA 950;OFICINAS;ROBERTO MATTIELLO;1962;4.00 X 10.00;HALL;ALTORELIEVE EN YESO Y COBRE;TITULO DESCONOCIDO
AV. RIVADAVIA 2031;VIVIENDA MULTIFAMILIAR ;EDUARDO RODRIGUEZ ORTEGA;1905;IRREGULAR;FACHADA;RELIEVE;LA CASA DE LOS LIRIOS
AV. RIVADAVIA 3320;VIVIENDA MULTIFAMILIAR ;VIRGINIO COLOMBO;1912;S/M;HALL;MOSAICO DE VIDRIOS PINTADOS;ORFEO
AV. RIVADAVIA 3320;VIVIENDA MULTIFAMILIAR ;VIRGINIO COLOMBO;1912;S/M;HALL;MOSAICO DE VIDRIOS PINTADOS;SALOME
AV. RIVADAVIA 6140;VIVIENDA MULTIFAMILIAR ; PEREZ CELIS;1962;S/M;HALL;ALTORELIEVE;FUERZA - AMERICA
AV. RIVADAVIA 6740;VIVIENDA MULTIFAMILIAR ;ROBERTO OBARRIO;1965;S/M;HALL;CERAMICA Y LADRILLO DE MAQUINA;TITULO DESCONOCIDO
AV. SANTA FE 3952;VIIVENDA MULTIFAMILIAR;LUIS FALCINI;1951;S/M;HALL;RELIEVE;EL DESARROLLLO MACIONAL
FRENCH 2778;VIVIENDA MULTIFAMILIAR ;LUIS SEOANE;1959;S/M;HALL;PINTURA MURALCON RESINAS SINTETICAS;JINETES
JUNIN 309;VIVIENDA MULTIFAMILIAR ;CARLOS SESSANO;1964;S/M;HALL;MURAL CERAMICO;TRES NIÑIOS
HIPOLITO YRIGOYEN 2562;VIVIENDA MULTIFAMILIAR ;VIRGINIO COLOMBO / ESCULTOR E. PASSINA;1912;S/M;FACHADA;ALTORELIEVE;SIN TITULO
JURAMENTO 2120;VIVIENDA MULTIFAMILIAR ;LUIS SEOANE;1958;S/M;HALL;PINTURA MURAL;EL CARRO DE LA LUNA / ESCENAS DE TAUROMAQUIA / FIGURAS
LA PAMPA 1924;VIVIENDA MULTIFAMILIAR ;ORLANDO PIERRI;1967;S/M;HALL;MURAL CERAMICO;BARCAS
LA PAMPA 2088;VIVIENDA MULTIFAMILIAR ;JUAN BATLLE PLANAS;1965;S/M;;PINTURA MURAL;PERSONAJES, LA GUITARRA
LARREA 790;VIVIENDA MULTIFAMILIAR ;OSCAR CAPRISTO;1962;S/M;HALL;MURAL CERAMICO;PLENITUD
LUIS SAENZ PEÑA 274;VIVIENDA MULTIFAMILIAR ;JULIAN GARCIA;1911;S/M;FACHADA;MURAL CERAMICO;SIN TITULO
MACHAIN 3553;VIVIENDA INDIVIDUAL;ARIOSTO OTERO;2003;9.40 X 4;MEDIANERA FONDO DE LA VIV.;ESGRAFIADO;LOS MITOS
MONTEVIDEO 1920;VIVIENDA MULTIFAMILIAR ;LUIS SEOANE;1956;5 X 2.50;HALL;CERAMICA Y RESINAS SINTETICAS;LAS CARRETAS
MONTEVIDEO 1985;VIVIENDA MULTIFAMILIAR ;LUIS SEOANE;S/A;S/M;HALL;;
REPUBLICA ARABE SIRIA 2637;VIVIENDA MULTIFAMILIAR ;ANTONIO BERNI;S/A;S/M;HALL;PINTURA MURAL;
OLAZABAL 3340;VIVIENDA INDIVIDUAL;LUIS SEOANE;1954;S/M;INTERIOR;PIEDRA PICADA RECONSTITUIDA;SIN TITULO
PARAGUAY 1269;VIVIENDA MULTIFAMILIAR ;JUAN MANUEL SANCHEZ;1983;S/M;HALL;PINTURA MURAL;SEIS MUJERES
PARAGUAY 1307;VIVIENDA MULTIFAMILIAR ;JUAN CARLOS CASTAGNINO;1959;S/M;HALL;PINTURA MURAL;TITULO DESCONOCIDO
PARAGUAY 1330;LA CASA DE LOS AZULEJOS;PIO PINZAUTI;1911;S/M;FACHADA;MURAL CERAMICO;ESCENAS PASTORILES
PASO 684;VIVIENDA MULTIFAMILIAR ;JULIAN GARCIA;1910;S/M;FACHADA;ALTORELIEVE;SIN TITULO
TRES DE FEBRERO 1479;VIVIENDA MULTIFAMILIAR ;SUSANA FEDRANO, RUBEN MANZO;1973;S/M;HALL;RELIEVE EN BRONCE Y COBRE;HOMBRE TEMPORAL
URQUIZA 41;VIVIENDA MULTIFAMILIAR ;ANTONIO BERNI;1936;3 X 3;HALL;FRESCO;ALEGORIAS DE LA CIUDAD MODERNA
URQUIZA 41;VIVIENDA MULTIFAMILIAR ;ANTONIO BERNI;1936;3 X 3;HALL;FRESCO;ALEGORIAS DE LA CIUDAD MODERNA
VIAMONTE 2040;VIVIENDA MULTIFAMILIAR ;ADOLFO DE FERRARI;1950;S/M;HALL;MURAL CERAMICO;TITULO DESCONOCIDO
VIAMONTE 2660;VIVIENDA MULTIFAMILIAR ;JUAN CARLOS CASTAGNINO;1947;2 X 1.50;HALL;FRESCO;TITULO DESCONOCIDO
VIAMONTE 867;OFICINAS;LINO ENEA SPILIMBERGO;1955;2.00 X 2.00;HALL;PINTURA MURAL;ALEGORIA
AV. FEDERICO LACROZE 4183;ESTACCION LACROZE, EX FFCC URQUIZA;LUIS PERLOTTI;1934;1.50 X 8;HALL;ALTORELIEVE;EL PROGRESO DE LA MESOPOTAMIA
SOMELLERA Y M. LEGUIZAMON;EST. LUGANO FCG.M.BELGRANO;HECTOR RAPISARDA;1992;S/M;FACHADA;PINTURA MURAL;EL TREN LECHERO
SOMELLERA Y M. LEGUIZAMON;EST. LUGANO FCG.M.BELGRANO;HECTOR RAPISARDA;1992;S/M;FACHADA;PINTURA MURAL;LA LLEGADA DE LOS INMIGRANTES
AV. ALMIRANTE BROWN 735;EDIFICIO INDUSTRIAL;TALLER MURAL QUNQA, CENTRO DE EST. IUNA;2002;2 X 3;FACHADA;PINTURA MURAL;POR PAN Y POR TRABAJO
AV. ALMIRANTE BROWN 38;;OMAR GASPARINI;1999;S/M;FACHADA;TECNICA MIXTA;ENTRADA A LA BOCA
AV. BELGRANO Y PIEDRAS;PLAZA BELGRANO;"NILDA NOEMI ""MUNU"" ACTIS GORETTA Y COL.";1994;S/M;MURO DIVISORIO;PINTURA MURAL;A NUESTROS HERMANOS DE AMERICA
AV. DE MAYO Y BERNARDO DE IRIGOYEN;EDIFICIO DE VIVIENDAS;ALFREDO SEGATORI (PELADO);2001;S/M;FACHADAFRENTE;PINTURA MURAL;LA CIUDAD CONTRA LA PARED
AV.GARAY Y AV. PASEO COLON;;TALLER MURALISTA DE LA UTE;2001;20 X 5;MEDIANERA;PINTURA MURAL;MURAL EDUCACION O ESCLAVITUD
AV. INDEPENDENCIA Y AV. PASEO COLON;PLAZOLETA EDMUNDO RIVERO;"NILDA NOEMI ""MUNU"" ACTIS GORETTA Y COL.";1993;S/M;MEDIANERA;PINTURA MURAL;TANGO
AV. INDEPENDENCIA Y AV. PASEO COLON;PLAZ. EDMUNDO RIVERO;EDUARDO NALE / JORGE MUSCIA;1990;S/M;MEDIANERA;PINTURA MURAL;TITULO DESCONOCIDO
AV. LA PLATA 2193;FACHADA ESQ. AV. LA PLATA Y PASAJE BUTTELER;CARLOS TERRIBILI;1998;S/M;FACHADA;PINTURA MURAL;ENRIQUE SANTOS DISCEPOLO
AV. PASEO COLON 1250;"EX CENTRO ""EL ATLETICO""";GRUPO TOTEM;1995;S/M;COLUMNA AUTOPISTA;ESMALTE SINTETICO, FIGURAS EN HIERRO;HOMENAJE A LOS DESAPARECIDOS
AV. PEDRO DE MENDOZA 1629;EX PROVEEDURIA DEL SUR;VINCENT WALTER;1980;15 X 2;FACHADA;RELIEVE EN CEMENTO;TRABAJO
AV. PEDRO DE MENDOZA 2002;;CRISTINA TERZAGHI;1999;4 X 19;FACHADA;MURAL ESGRAFIADO;HOMENAJE A LA BOCA
AV. SAN JUAN 455;GARAGE COMERCIAL;DIEGO PERROTTA;2005;S/M;FACHADA;PINTURA MURAL;SAN TELMO, QUE HAY DE NUEVO
AV. SAN JUAN 455;GARAGE COMERCIAL;NASO;2004;S/M;FACHADA;PINTURA MURAL;SAN TELMO, QUE HAY DE NUEVO
BRANDSEN 350;B/PUENTE N.AVELLANEDA;GRUPO ESTEBAN FERREIRA;1992;S/M;;PINTURA MURAL;PERIODISTAS - LA FILMACION
CALIFORNIA Y GRAL. HORNOS;AUTOPISTA 9 DE JULIO;TALLER MURALISTA DE LA UTE;2001;IRREGULAR;PLANO INCLINADO AUTOPISTA;PINTURA MURAL;MURAL POR TRABAJO, DIGNIDAD Y CAMBIO SOCIAL
CORONEL APOLINARIO FIGUEROA 600;EDIFICIO INDUSTRIAL;ALUMN. DE ESC. PRILIDIANO PUEYRREDON;1984;3.49 X 7.77;FACHADA;PINTURA MURAL;GUERNICA
DEFENSA 573;SOBRE LINEA OFICIAL DE EDIFCACION;ALBERTO ARREGUI, ALUMN.ESC.PUEYRREDON;1991;5 X 2;S/LINEA MUNICIPAL;ESMALTE SINTETICO S/CHAPA;HOMENAJE AL ROTARY DE SAN TELMO
HERNANDARIAS 845;EDIFICIO INDUSTRIAL;VINCENT WALTER;1980;3 X 2;FACHADA;ALTORELIEVE EN CEMENTO COLOREADO;"TRANSPORTE ""JOSE BERALDI S.A."""
HERNANDARIAS 845;EDIFICIO INDUSTRIAL;VINCENT WALTER;1980;3 X 2;FACHADA;ALTORELIEVE EN CEMENTO COLOREADO;LA FIESTA
PERU Y CHILE;PLAZOLETA RODOLFO WALSH;;1990;S/M;MURO DIVISORIO;PINTURA MURAL;EN RECUERDO DE LA MASACRE DE TRELEW
PINZON 567;;VINCENT WALTER;1989;3 X 2;FACHADA;ALTORELIEVE EN CEMENTO COLOREADO;CAMINITO
SAN LORENZO Y BALCARCE;FACHADA;GIAMPIETRO / JAIME / NOLA;1995;15 X 2;MURO LINEA MUNICIPAL;PINTURA MURAL;TITULO DESCONOCIDO
USPALLATA 2802;FACHADA;GRUPO MURALISTA DE RICARDO VILLAR;1996;740;FACHADA;PINTURA MURAL;ESCENA URBANA
